user_id,reg_date
0a0dedd5-bc89-4a88-b459-f79375af8e9c,11/12/2019
0a9bba6b-559d-454e-bba5-2344c477346c,12/7/2019
0a9dcc10-19c6-4a2e-8bea-db0632a2b07f,8/31/2020
0a05ada1-b302-4f05-b29d-fb16bb071df7,1/20/2020
0a46ffcd-3e54-4951-85a5-3f25289c79e7,7/10/2019
0a3172eb-a103-40c0-b669-ad022377a2cc,12/8/2019
0a078113-c7a7-4f53-af81-0335984e0672,9/19/2020
0a829588-4500-442b-b387-8cc2dbe365bf,5/2/2019
0ac147f5-8ae3-4527-9562-b7148805af68,8/6/2020
0ae5db87-1a6c-4663-8dd7-7ea25dc6f33a,9/15/2020
0ae63a00-b422-44bf-86b7-e64203eb68c9,11/28/2019
0afd9090-fe2a-4e15-a0bd-4ef05412f263,8/22/2020
0b2ed293-1543-4c00-a57b-8c9c190568ef,1/16/2020
0b8e2c81-1bc6-4a67-a88c-12a1f14ab145,9/18/2020
0b9a2106-6311-46a0-ade9-510f50ea5a5f,7/30/2020
0b25c2e6-07b7-4b39-9536-a58d7ab00547,5/22/2020
0b57de06-04eb-43be-8282-2f1e64def9f5,3/7/2020
0b70fb2e-3709-40ce-80a8-1a3deee325f4,9/6/2020
0b816fd9-6bb3-4fee-8d92-900b7bdc4799,3/4/2019
0b3743a0-2b4f-4691-8087-8e8cfefc8188,9/17/2020
0bae3c66-903d-41c6-bada-e044b41bd5f4,8/10/2020
0bc7c7a8-d55c-4abd-8b5c-925568970642,8/5/2020
0bc464e6-6470-4e4a-99d1-f68a37f5d6d2,7/23/2020
0bca0983-9d58-488b-8337-2feea220f6b0,9/12/2020
0c5e21ac-b37d-4ac7-8419-ef376aa2364d,9/10/2020
0c8464d0-c82f-4a2f-be8e-79be50942ea6,8/30/2020
0c492880-5e8b-452a-be10-a41a5433c7f9,9/9/2020
0c608250-36c4-44b1-a48e-c617b41e3ca0,11/18/2019
0cb7b6a4-0bde-4d76-92d3-28cd44c0f773,3/10/2020
0cc3dd9e-16ae-4864-8648-013b2fd60814,8/3/2020
0cc46c09-d74b-4942-8be5-d98f884fd6bc,1/22/2019
0d0d0118-2079-4951-84ba-2f4250f166ab,9/12/2020
