entry_date,league,player,user_id,entry_amount
9/19/2020,NBA,Bam Adebayo,00aa563f-2b92-494f-a88a-b53c9db20410,76
9/25/2020,NBA,Bam Adebayo,01fbb43e-87a4-46b6-812d-c5fde5dc9037,492
9/7/2020,NBA,Bam Adebayo,01fbb43e-87a4-46b6-812d-c5fde5dc9037,57
9/23/2020,NBA,Bam Adebayo,024550c4-01a9-4474-82a3-4a399f9e5daf,459
9/2/2020,NBA,Bam Adebayo,0262b7c6-ce9f-467c-b84c-e7d3b3a56379,318
9/1/2020,NFL,Deshaun Watson,e6b35a79-f20e-42a9-85ce-4a4b9aeaa365,284
9/1/2020,NBA,Donovan Mitchell,f8abc815-e5d9-42ef-b5da-e124e34d8afa,173
9/1/2020,NBA,Donovan Mitchell,f73fb2c7-7bb1-46c1-8b23-14be832e3c57,482.5
9/1/2020,NBA,Donovan Mitchell,f71ad470-3b46-4beb-946e-574fce07cdc4,323.5
9/1/2020,NBA,Donovan Mitchell,f6e25941-6b83-41ce-8d29-b33e6189b6b6,451.5
9/1/2020,NBA,Donovan Mitchell,ef46bf15-e4a4-4234-b495-448ee854a072,25
9/1/2020,NBA,Donovan Mitchell,ec7371e4-5284-44e1-81fe-72ddc96d2b5b,293
9/1/2020,NBA,Donovan Mitchell,e65c80fd-d97a-44fd-b773-7497eeb8fa32,364.5
9/1/2020,NBA,Donovan Mitchell,e5868056-b721-430f-8f3a-f2bb4110aed5,492
9/1/2020,NBA,Donovan Mitchell,dc2b0d10-26b9-4add-baaa-520f77397785,184
9/1/2020,NBA,Donovan Mitchell,dc175d20-68fb-4bd3-a52c-6f2dbb1f0993,466.5
9/1/2020,NBA,Donovan Mitchell,d8f26984-4374-493b-85f4-ab3b74b886f8,349
9/1/2020,NBA,Donovan Mitchell,d4754a96-aa8f-476e-af7a-47fa78bf6400,48
9/1/2020,NBA,Donovan Mitchell,cc645127-c96c-44b9-a33e-b375258f9582,312
9/1/2020,NBA,Donovan Mitchell,cbd0b983-7a57-4af4-9fc9-fa38350a19d4,312
9/1/2020,NBA,Donovan Mitchell,ca961f13-a42e-4010-8b08-9af011f1696e,435
9/1/2020,NBA,Donovan Mitchell,c7123e1a-216b-4465-9e24-a039c7f7270b,384.5
9/1/2020,NBA,Donovan Mitchell,c1a58376-c002-49db-ab27-194ba13a34a6,443
9/1/2020,NBA,Donovan Mitchell,bade07af-f1e7-4ddc-be31-56c214b8af7f,360
9/1/2020,NBA,Donovan Mitchell,bac66cfa-4a85-4bd0-a288-dd0150e714cf,280
9/1/2020,NBA,Donovan Mitchell,b9daaca2-4b40-41c3-b90d-2bb58a15be9f,370
9/1/2020,NBA,Donovan Mitchell,ad2da902-c23f-443b-9754-f0e81101a431,394
9/1/2020,NBA,Donovan Mitchell,aa003d16-52bc-4e28-becd-fac2cd7322be,271.5
9/1/2020,NBA,Donovan Mitchell,a432bb03-624f-4a67-9a7d-8e7969e46641,410.5
9/1/2020,NBA,Donovan Mitchell,a151c7ae-cb07-4b44-bfc4-327cbc320bf6,252.5
9/1/2020,NBA,Donovan Mitchell,a06c909b-115c-42e2-b541-3ef34e2c4db4,478
9/1/2020,NBA,Donovan Mitchell,9e86eeab-cdbf-4ecb-9107-2e45bf44efca,322
9/1/2020,NBA,Donovan Mitchell,9d637145-f7e1-4aa2-aec9-00e7d41e0473,221
9/1/2020,NBA,Donovan Mitchell,96488e61-b7fc-4321-9b6d-0dd4133c84d0,89
9/1/2020,NBA,Donovan Mitchell,94287f1c-8f36-4bc6-9e2a-eb13bb21ba33,305
9/1/2020,NBA,Donovan Mitchell,9301cf7b-afbc-4d33-a6d0-a9f7bd5c9ba7,323
9/1/2020,NBA,Donovan Mitchell,92d512bd-4d1a-4761-9ac0-53030baeec98,289
9/1/2020,NBA,Donovan Mitchell,909de545-1966-4271-a212-794d7f2ccb38,369
9/1/2020,NBA,Donovan Mitchell,82a39704-41d2-48dd-b559-0a9743c24eb6,343
9/1/2020,NBA,Donovan Mitchell,8223c248-9e0e-46ae-ae6e-c921648f00ac,376
9/1/2020,NBA,Donovan Mitchell,81a06b5d-7a78-4519-9fea-d83421e1afc9,455
9/1/2020,NBA,Donovan Mitchell,73f57b36-2698-4713-aabf-aa548a5fd10f,311
9/1/2020,NBA,Donovan Mitchell,738c01e1-4bb5-4336-987e-f0f822c6c181,374
9/1/2020,NBA,Donovan Mitchell,7380dba8-a17f-4bd3-81d3-267b94475298,490
9/1/2020,NBA,Donovan Mitchell,678bb18b-71c7-440d-8b3b-b56cabe8fac5,276.5
9/1/2020,NBA,Donovan Mitchell,672d4e7e-122e-4eb1-b93c-9382652bb369,361.5
9/1/2020,NBA,Donovan Mitchell,60bdc199-c7a9-437c-b499-15984c063a8e,343
9/1/2020,NBA,Donovan Mitchell,60a302b1-0302-4088-ac73-22e933af8ec1,254
9/1/2020,NBA,Donovan Mitchell,5c410cc0-9dc0-4ca1-a1a5-2788dd810f42,19
9/1/2020,NBA,Donovan Mitchell,5132fbdf-6b80-4e0d-9994-a43e49bd3798,279.5
9/1/2020,NBA,Donovan Mitchell,5132fbdf-6b80-4e0d-9994-a43e49bd3798,305
9/1/2020,NBA,Donovan Mitchell,50208a01-07dc-4207-a657-5c98e9f459b6,412
9/1/2020,NBA,Donovan Mitchell,4dd2ef76-2d77-4fa7-914d-a55fc5b017f5,389
9/1/2020,NBA,Donovan Mitchell,4278cade-7833-4434-8e14-901524643c5f,302.5
9/1/2020,NBA,Donovan Mitchell,3f09a375-908b-45b0-a4d2-f42078a7c10c,76
9/1/2020,NBA,Donovan Mitchell,356276b8-4055-4d95-815e-0f5ae20a407e,331.5
9/1/2020,NBA,Donovan Mitchell,33208db2-b531-43ea-8f19-377245fa1d10,470
9/1/2020,NBA,Donovan Mitchell,30563a73-6b53-4e51-8fc1-4e66cb4fae71,387
9/1/2020,NBA,Donovan Mitchell,30563a73-6b53-4e51-8fc1-4e66cb4fae71,340
9/1/2020,NBA,Donovan Mitchell,1b867c2e-7a30-49d2-9da3-71f0054cde8a,165
9/1/2020,NBA,Donovan Mitchell,1635acc1-0a91-4fbf-9955-ee612d914585,47
9/1/2020,NBA,Donovan Mitchell,12af912a-9df1-4edf-bf7c-ca81207589a2,408
9/1/2020,NBA,Donovan Mitchell,103a8b78-139e-4792-980f-1b99d34054b6,155
9/1/2020,NBA,Donovan Mitchell,0a0dedd5-bc89-4a88-b459-f79375af8e9c,369.5
9/1/2020,NBA,Donovan Mitchell,06abbf69-a4eb-403f-b9be-25bb63306cd7,3
9/1/2020,NBA,Donovan Mitchell,0336daa3-f2b8-467b-968e-69c74b2d8512,334
9/1/2020,NBA,Fred VanVleet,ebd19c9a-beff-4a8f-81bb-b9d8021c2d6a,347
9/1/2020,NBA,Fred VanVleet,e06cc4eb-5330-4d0d-b7b8-2f71ea185070,306.5
9/1/2020,NBA,Fred VanVleet,cfcf5d6d-484a-4490-abe0-0950909f0323,266
9/1/2020,NBA,Fred VanVleet,cfcf5d6d-484a-4490-abe0-0950909f0323,251
9/1/2020,NBA,Fred VanVleet,c9205a6c-5f45-478d-a492-e25434526a33,438
9/1/2020,NBA,Fred VanVleet,bdce7b79-5cda-41e9-a731-540a4a981f58,349
9/1/2020,NBA,Fred VanVleet,b5f46ca9-f68f-470d-aeb5-4612ffa1a53f,268
9/1/2020,NBA,Fred VanVleet,a87e4989-d2ca-4dae-8c4a-0f66a16dba3c,364
9/1/2020,NBA,Fred VanVleet,a2493691-6180-4e8f-88d0-f49c472f8aa5,209
9/1/2020,NBA,Fred VanVleet,944a2746-91a9-4fd9-b3f4-9d28d3d241a7,484
9/1/2020,NBA,Fred VanVleet,8e5aa2db-a49e-4cb2-9afc-445f0676b50f,437
9/1/2020,NBA,Fred VanVleet,8df3d92e-31d6-4770-b51a-5dc93de214ab,300.5
9/1/2020,NBA,Fred VanVleet,83f2e117-9222-496f-9873-8552397b9251,477.5
9/1/2020,NBA,Fred VanVleet,5c410cc0-9dc0-4ca1-a1a5-2788dd810f42,354
9/1/2020,NBA,Fred VanVleet,5a109388-1818-4d61-98e8-a2252b3e2da2,304.5
9/1/2020,NBA,Fred VanVleet,48d66d99-1cf1-4a9a-800d-8b25116ad562,446
9/1/2020,NBA,Fred VanVleet,3ef2a36b-ef41-4dc9-ab2d-fc9e4277678e,223
9/1/2020,NBA,Fred VanVleet,3da7b853-37cd-42db-b705-82ce8397aefe,434.5
